Channel,Counts
0,228539
1,227285
2,227976
3,227813
4,228642
5,227648
6,226726
7,227912
8,228083
9,227880
10,226855
11,228580
12,228668
13,228029
14,227582
15,228251
16,227754
17,227806
18,228580
19,228316
20,228748
21,227548
22,227817
23,228245
24,228005
25,228079
26,228562
27,228260
28,228915
29,228969
30,228316
31,228436
32,228354
33,228384
34,227781
35,229115
36,228536
37,229254
38,228510
39,228992
40,229201
41,228508
42,228657
43,228352
44,228669
45,229149
46,228544
47,228582
48,228172
49,229125
50,228593
51,229281
52,228057
53,228964
54,229399
55,228691
56,228783
57,229503
58,229289
59,229063
60,228832
61,229184
62,229991
63,229704
64,228390
65,229010
66,229371
67,229390
68,228828
69,229970
70,228848
71,229660
72,229042
73,230011
74,229210
75,228234
76,228481
77,229760
78,229253
79,229324
80,228697
81,227905
82,229079
83,228665
84,228779
85,229442
86,228027
87,228757
88,229016
89,228416
90,226642
91,227934
92,226290
93,226291
94,225345
95,224497
96,223902
97,222605
98,220837
99,219331
100,217006
101,215535
102,212645
103,210902
104,209601
105,210097
106,210244
107,211695
108,214152
109,216133
110,218198
111,219692
112,221796
113,222453
114,224133
115,224908
116,226743
117,226773
118,226562
119,227315
120,227568
121,228584
122,228737
123,228514
124,229706
125,229105
126,229358
127,229892
128,228606
129,230385
130,229151
131,230115
132,229458
133,229925
134,230036
135,230388
136,231419
137,230823
138,231528
139,230731
140,231087
141,232008
142,230516
143,231127
144,230934
145,231164
146,231479
147,231247
148,230855
149,231057
150,230982
151,230845
152,231066
153,231416
154,231636
155,231546
156,231295
157,232133
158,232265
159,231576
160,231993
161,232023
162,231773
163,232029
164,231569
165,232186
166,231806
167,232523
168,231757
169,232702
170,231941
171,232164
172,231605
173,232239
174,232482
175,231585
176,231863
177,232659
178,231641
179,231499
180,231206
181,231603
182,232133
183,231861
184,232101
185,231451
186,232497
187,232754
188,232406
189,232110
190,231911
191,232430
192,231812
193,231701
194,232822
195,233034
196,232476
197,233162
198,232102
199,232870
200,232470
201,232084
202,232420
203,232201
204,233274
205,232249
206,232102
207,232410
208,232667
209,232236
210,232605
211,231547
212,232645
213,232186
214,232617
215,232295
216,232605
217,232483
218,232489
219,233370
220,231914
221,232887
222,232605
223,233267
224,232259
225,233635
226,231619
227,232894
228,233208
229,231368
230,232954
231,232472
232,232722
233,232382
234,232769
235,231820
236,231784
237,231775
238,232450
239,231086
240,230990
241,231002
242,231318
243,230500
244,230424
245,229589
246,229736
247,227684
248,227216
249,226946
250,224867
251,222275
252,220868
253,219607
254,219199
255,217920
256,218833
257,218692
258,221127
259,223200
260,225071
261,225581
262,226146
263,228335
264,228497
265,229206
266,230595
267,231481
268,230855
269,231590
270,230985
271,231248
272,232714
273,233240
274,232935
275,232366
276,232796
277,233568
278,232320
279,233574
280,233403
281,233985
282,232653
283,233745
284,233526
285,233435
286,233721
287,234461
288,233062
289,234145
290,233665
291,234146
292,233465
293,233815
294,233644
295,233280
296,234459
297,234249
298,234305
299,235209
300,233908
301,233388
302,233664
303,233640
304,233609
305,234675
306,234166
307,233926
308,235185
309,234344
310,233617
311,234687
312,234519
313,233145
314,234305
315,234528
316,235100
317,234712
318,233648
319,234086
320,234830
321,234079
322,235545
323,233775
324,234215
325,234815
326,234980
327,234619
328,234776
329,234375
330,234405
331,234918
332,234820
333,233590
334,234946
335,234728
336,235278
337,234333
338,234658
339,235377
340,234567
341,234239
342,234339
343,234895
344,234629
345,234929
346,234983
347,234753
348,235482
349,234280
350,235025
351,234521
352,234406
353,234859
354,233971
355,235315
356,235152
357,234289
358,234672
359,234830
360,234090
361,235641
362,235153
363,233791
364,234631
365,235351
366,234496
367,235079
368,235603
369,234397
370,234982
371,235915
372,234808
373,234881
374,234613
375,234452
376,234629
377,235341
378,235395
379,234573
380,234746
381,235043
382,233904
383,235200
384,234311
385,234562
386,234665
387,234408
388,234964
389,234282
390,234500
391,234954
392,234991
393,235059
394,234201
395,234623
396,235145
397,235061
398,235082
399,234647
400,234237
401,235193
402,234069
403,234525
404,233131
405,233717
406,233967
407,232923
408,232475
409,231506
410,231740
411,230574
412,230142
413,228544
414,226487
415,227248
416,226449
417,226150
418,226268
419,228426
420,228911
421,230487
422,230777
423,231040
424,231918
425,232958
426,233834
427,233204
428,233246
429,234279
430,233031
431,234017
432,233763
433,234696
434,234872
435,235401
436,233760
437,234363
438,234758
439,234947
440,236036
441,234859
442,235087
443,235071
444,235185
445,235192
446,235030
447,235270
448,235240
449,235620
450,234482
451,235536
452,234838
453,235371
454,235589
455,235692
456,234672
457,235262
458,235675
459,235331
460,235550
461,234769
462,234976
463,234780
464,235534
465,234992
466,234755
467,235411
468,234811
469,234177
470,235589
471,234963
472,234886
473,234924
474,235743
475,235662
476,235574
477,235101
478,235708
479,235414
480,235519
481,234920
482,235462
483,234430
484,235353
485,234967
486,235757
487,235517
488,234990
489,234881
490,234925
491,234900
492,235287
493,234907
494,235899
495,235266
496,234146
497,235247
498,234822
499,235379
500,235061
501,234837
502,234843
503,234577
504,235584
505,235636
506,234540
507,235410
508,235468
509,235246
510,234631
511,234731
512,234513
513,235152
514,236017
515,234685
516,234909
517,235358
518,234910
519,234456
520,234318
521,234877
522,234039
523,233618
524,233424
525,234719
526,233660
527,233879
528,233225
529,233887
530,233476
531,232673
532,230820
533,230635
534,230605
535,229203
536,228413
537,227127
538,226564
539,226408
540,227469
541,227488
542,228464
543,229717
544,231094
545,230641
546,232703
547,232295
548,233092
549,233930
550,233626
551,234390
552,234648
553,234648
554,234847
555,234957
556,234515
557,233950
558,234157
559,234935
560,234554
561,233511
562,234697
563,235872
564,234708
565,234211
566,234888
567,235144
568,235208
569,235364
570,234573
571,234906
572,235621
573,234633
574,235136
575,234689
576,234864
577,235001
578,235634
579,235207
580,235101
581,234630
582,235296
583,235812
584,235582
585,234757
586,234954
587,234663
588,235314
589,235253
590,234946
591,235174
592,234625
593,234832
594,234551
595,234946
596,234990
597,235387
598,234859
599,235181
600,235126
601,235359
602,234280
603,236222
604,235596
605,235030
606,235211
607,234942
608,235016
609,235620
610,235037
611,234497
612,236576
613,233897
614,235742
615,235539
616,234748
617,235163
618,234536
619,234795
620,234890
621,235277
622,234776
623,235310
624,235311
625,234589
626,235237
627,235024
628,235861
629,234774
630,234153
631,235897
632,234422
633,234530
634,235965
635,235090
636,234956
637,234830
638,234732
639,234949
640,234566
641,233819
642,233788
643,234503
644,235185
645,234048
646,234465
647,234560
648,234257
649,235054
650,235128
651,234768
652,234349
653,234513
654,233917
655,235093
656,234492
657,233849
658,234364
659,234896
660,234772
661,234188
662,234672
663,234616
664,234431
665,235019
666,233339
667,235456
668,233462
669,232930
670,234095
671,234338
672,233422
673,233839
674,235097
675,234393
676,233083
677,234010
678,232696
679,233577
680,233424
681,233997
682,232599
683,233305
684,233133
685,232692
686,232237
687,232914
688,232342
689,231563
690,230966
691,231254
692,229625
693,228937
694,227856
695,227676
696,226727
697,224759
698,223138
699,222560
700,219921
701,218568
702,219091
703,219521
704,219712
705,221579
706,222902
707,224311
708,225694
709,227359
710,229032
711,228198
712,230336
713,231102
714,231728
715,231267
716,232194
717,232561
718,232220
719,232855
720,230920
721,231931
722,232055
723,233332
724,233040
725,233219
726,233344
727,233833
728,232737
729,233617
730,233066
731,232968
732,233868
733,233712
734,232605
735,233510
736,233003
737,234182
738,233816
739,232724
740,233506
741,233493
742,233365
743,233134
744,232733
745,233761
746,232738
747,233785
748,233464
749,233321
750,233452
751,233580
752,234076
753,232996
754,233573
755,232902
756,233387
757,233140
758,233318
759,232141
760,233379
761,233444
762,232844
763,234120
764,233673
765,232730
766,233800
767,233842
768,232582
769,233736
770,232859
771,233676
772,232115
773,232101
774,232575
775,233573
776,231869
777,233183
778,232174
779,232914
780,231826
781,232042
782,232449
783,232457
784,232965
785,231886
786,232481
787,232054
788,232238
789,233010
790,233379
791,232353
792,232507
793,231747
794,232719
795,232002
796,232909
797,231991
798,232696
799,232139
800,232559
801,232862
802,232783
803,232454
804,232948
805,231940
806,232310
807,232802
808,232678
809,232947
810,232214
811,231704
812,231655
813,232486
814,232608
815,231921
816,232687
817,232475
818,231539
819,231944
820,232356
821,231802
822,232393
823,231595
824,231086
825,231778
826,232093
827,231014
828,232577
829,231549
830,231514
831,231617
832,231167
833,232029
834,231483
835,230765
836,230664
837,231039
838,230593
839,230418
840,231116
841,230645
842,231338
843,230933
844,230636
845,230470
846,230055
847,229672
848,230691
849,231000
850,229673
851,229974
852,229907
853,229726
854,229190
855,228706
856,229403
857,228817
858,229001
859,229254
860,228475
861,228549
862,228490
863,226431
864,226458
865,225343
866,224366
867,223906
868,222725
869,220851
870,219592
871,217666
872,213737
873,213366
874,211138
875,209816
876,210212
877,211659
878,212778
879,215085
880,216059
881,218845
882,220484
883,221342
884,223241
885,224122
886,224719
887,225984
888,227186
889,226700
890,227249
891,227342
892,228170
893,228588
894,228855
895,228293
896,228038
897,228901
898,229014
899,228978
900,228757
901,228958
902,229513
903,229781
904,229065
905,229081
906,229293
907,229246
908,228882
909,229229
910,228655
911,229605
912,229419
913,229829
914,229858
915,229307
916,229533
917,228959
918,229092
919,229440
920,228822
921,230003
922,229462
923,229446
924,229748
925,229739
926,228640
927,230178
928,229780
929,228583
930,229474
931,229059
932,229746
933,228938
934,229356
935,228391
936,227673
937,228310
938,229605
939,229374
940,228875
941,229092
942,229311
943,228931
944,228552
945,228618
946,228563
947,229270
948,229582
949,229291
950,228565
951,229360
952,228767
953,228992
954,228897
955,228500
956,228426
957,228448
958,228193
959,228526
960,229305
961,228094
962,228543
963,228517
964,228460
965,229274
966,228695
967,228321
968,229028
969,228480
970,228194
971,228979
972,227861
973,227868
974,228310
975,228638
976,228048
977,228414
978,227921
979,228374
980,228969
981,227761
982,228405
983,227514
984,227476
985,227844
986,228087
987,227617
988,226685
989,226908
990,227695
991,228071
992,227080
993,227297
994,229045
995,227150
996,226483
997,227384
998,227505
999,227543
1000,227020
1001,227422
1002,227112
1003,227819
1004,227144
1005,227081
1006,227818
1007,226834
1008,226971
1009,226486
1010,226645
1011,226731
1012,227095
1013,227008
1014,226199
1015,226026
1016,226200
1017,226791
1018,226180
1019,226532
1020,226558
1021,226911
1022,227024
1023,226838
