Channel,Counts
0,52977
1,52825
2,52822
3,52614
4,52709
5,52823
6,53125
7,53013
8,53004
9,52389
10,53005
11,52928
12,52874
13,53071
14,52982
15,52774
16,52744
17,53006
18,52846
19,52581
20,52812
21,52776
22,53202
23,53413
24,52950
25,52887
26,52607
27,53084
28,52582
29,52881
30,52796
31,52628
32,53719
33,53034
34,52914
35,52849
36,53023
37,52922
38,53300
39,52797
40,53301
41,53351
42,52915
43,52899
44,52904
45,52707
46,52537
47,52637
48,52763
49,53242
50,52892
51,52790
52,53056
53,52964
54,52751
55,52758
56,53022
57,53008
58,52766
59,53091
60,53021
61,53257
62,52726
63,52582
64,52942
65,52994
66,53180
67,52906
68,52742
69,53013
70,53031
71,52754
72,52976
73,53013
74,53290
75,52620
76,52841
77,53151
78,53023
79,53164
80,52682
81,52771
82,53246
83,52462
84,53232
85,53115
86,52462
87,52799
88,52912
89,53335
90,53021
91,52943
92,52816
93,52870
94,53237
95,52943
96,53079
97,53064
98,53154
99,52759
100,52950
101,52964
102,53154
103,52883
104,53333
105,52641
106,53176
107,53079
108,52891
109,52897
110,52778
111,53005
112,53167
113,53153
114,53095
115,53280
116,53313
117,52969
118,53438
119,53245
120,53110
121,53408
122,53247
123,52769
124,53124
125,53113
126,53272
127,53058
128,52778
129,53071
130,53013
131,52938
132,53126
133,53312
134,53138
135,52793
136,53443
137,53225
138,53268
139,53000
140,53090
141,53035
142,53049
143,53391
144,53493
145,53238
146,52981
147,53253
148,53063
149,52906
150,52845
151,52844
152,53563
153,53209
154,52826
155,53141
156,53198
157,53219
158,53055
159,52614
160,52996
161,53017
162,53180
163,53057
164,53221
165,52812
166,53491
167,52766
168,53068
169,52795
170,52750
171,52734
172,52744
173,52817
174,53110
175,53121
176,53447
177,53110
178,53017
179,52924
180,53555
181,53147
182,53411
183,53236
184,52922
185,53030
186,53211
187,53216
188,53044
189,52885
190,52812
191,53113
192,53183
193,52746
194,53240
195,53269
196,52995
197,53297
198,53027
199,53109
200,53234
201,52966
202,53378
203,53385
204,53212
205,53021
206,52883
207,53292
208,53255
209,53278
210,53025
211,53100
212,53098
213,52954
214,53187
215,53736
216,53376
217,52858
218,53596
219,53190
220,52876
221,53349
222,53242
223,53225
224,53300
225,53333
226,53039
227,53124
228,53348
229,53229
230,53074
231,53222
232,52978
233,53448
234,53587
235,53187
236,53087
237,53186
238,52833
239,53351
240,53203
241,53146
242,52994
243,52918
244,53190
245,53186
246,53076
247,53334
248,53243
249,52757
250,53298
251,52949
252,53038
253,53333
254,53172
255,53032
256,53222
257,53262
258,53292
259,53127
260,53232
261,53749
262,53075
263,53163
264,53081
265,53130
266,53370
267,53141
268,53008
269,53294
270,53309
271,53266
272,53469
273,53259
274,53158
275,53159
276,53510
277,53489
278,53243
279,53030
280,53210
281,53558
282,53167
283,53215
284,53377
285,52906
286,53216
287,53363
288,53643
289,53342
290,53013
291,53325
292,53030
293,53069
294,53409
295,52918
296,53680
297,53241
298,53071
299,52887
300,53380
301,53041
302,53224
303,53464
304,53195
305,52941
306,53445
307,53472
308,53161
309,53411
310,53058
311,52937
312,53145
313,53220
314,53232
315,53317
316,53546
317,52899
318,53339
319,53095
320,53409
321,53064
322,52910
323,53630
324,53387
325,53061
326,53165
327,52980
328,52900
329,53094
330,53524
331,53254
332,53403
333,52924
334,53163
335,53306
336,53216
337,53253
338,52915
339,53268
340,53136
341,53031
342,53562
343,53099
344,53067
345,53739
346,53085
347,52698
348,53001
349,52975
350,53029
351,52949
352,52866
353,53160
354,53016
355,52924
356,52902
357,53422
358,53045
359,52778
360,52880
361,53513
362,53063
363,53258
364,53104
365,53100
366,52563
367,53017
368,53289
369,52943
370,52759
371,53029
372,52761
373,52559
374,52845
375,52488
376,52805
377,52743
378,52936
379,52727
380,52854
381,52606
